JENIS KELAMIN KORBAN,USIA KORBAN,PEKERJAAN KORBAN,DAERAH TINGGAL KORBAN,TEMPAT KEJADIAN PENCURIAN,DAERAH PERISTIWA,WAKTU KEJADIAN,HARI KEJADIAN,PELAKU MENGGUNAKAN ALAT,SASARAN KEJAHATAN,JUMLAH KERUGIAN,MO,JENIS PENCURIAN,PASAL PENCURIAN
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,SENIN,YA,GABUNGAN,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PEDESAAN,JALAN RAYA,PEDESAAN,MALAM,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PINGGIRAN KOTA,PAGI,SENIN,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,MALAM,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,SORE,RABU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,kelumbayan,AREA PARKIR,PERKOTAAN,DINI HARI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,MALAM,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,PAGI,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA PROFESIONAL,PERKOTAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,SABTU,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SIANG,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PEDESAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PEDESAAN,MALAM,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,AREA PARKIR,PEDESAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,DINI HARI,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,MALAM,SABTU,YA,BENDA TIDAK BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,MALAM,SENIN,YA,GABUNGAN,BESAR,MENGANCAM,CURAS,365 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,JALAN RAYA,PERKOTAAN,MALAM,MINGGU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,MALAM,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,LANSIA,TENAGA PROFESIONAL,PEDESAAN,JALAN RAYA,PERKOTAAN,SIANG,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,363 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,DINI HARI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PINGGIRAN KOTA,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,PAGI,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,MALAM,SELASA,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,penengah raya,HALAMAN RUMAH,PEDESAAN,DINI HARI,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,DINI HARI,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,JALAN RAYA,PERKOTAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA WIRA USAHA,PEDESAAN,DALAM RUMAH,PINGGIRAN KOTA,DINI HARI,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PEDESAAN,PAGI,SABTU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PEDESAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PEDESAAN,PAGI,SELASA,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,DINI HARI,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PEDESAAN,MALAM,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,JUMAT,YA,GABUNGAN,BESAR,MENGANCAM,CURAS,365 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,DINI HARI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,SORE,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,MALAM,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PINGGIRAN KOTA,SORE,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA PROFESIONAL,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,MALAM,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SORE,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA PROFESIONAL,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SORE,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,PAGI,SELASA,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,SORE,MINGGU,TIDAK,GABUNGAN,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,PAGI,JUMAT,YA,GABUNGAN,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,PAGI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PEDESAAN,DINI HARI,SELASA,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,SORE,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR ,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,AREA PARKIR,PEDESAAN,MALAM,MINGGU,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA PROFESIONAL,PERKOTAAN,JALAN RAYA,PERKOTAAN,PAGI,RABU,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PEDESAAN,AREA PARKIR,PINGGIRAN KOTA,MALAM,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,KAMIS,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PEDESAAN,HALAMAN RUMAH,PINGGIRAN KOTA,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,PAGI,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PEDESAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PERKOTAAN,PAGI,JUMAT,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PEDESAAN,PAGI,SABTU,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT,363 KUHP
PEREMPUAN,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,KAMIS,TIDAK,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SIANG,KAMIS,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PEDESAAN,MALAM,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,JUMAT,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,AREA PARKIR,PEDESAAN,SIANG,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,POLRI,PEDESAAN,DALAM RUMAH,PEDESAAN,PAGI,KAMIS,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,JALAN RAYA,PERKOTAAN,SORE,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,PAGI,MINGGU,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SABTU,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,SORE,JUMAT,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,pesisir tengah,AREA PARKIR,PEDESAAN,MALAM,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA TATA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SORE,SELASA,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TENAGA TATA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PEDESAAN,PAGI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PEDESAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PEDESAAN,JALAN RAYA,PERKOTAAN,SIANG,SABTU,TIDAK,BENDA BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,MINGGU,TIDAK,GABUNGAN,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,DINI HARI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,PAGI,SENIN,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SIANG,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SORE,SELASA,TIDAK,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,SENIN,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PINGGIRAN KOTA,SIANG,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,PAGI,KAMIS,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PINGGIRAN KOTA,JALAN RAYA,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA USAHA JASA,PINGGIRAN KOTA,HALAMAN RUMAH,PINGGIRAN KOTA,SIANG,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
